frame,X,Y,Z
0,46.9523,74.3871,70.9961
1,47.0593,74.5893,70.8321
2,47.0762,74.6476,71.5661
3,47.2387,74.7249,71.5213
4,47.2694,74.8602,71.2660
5,47.3898,75.0841,71.5067
6,47.4190,75.2633,71.5436
7,47.3753,75.1058,71.3970
8,47.4281,74.9850,71.4949
9,47.3529,74.6934,71.5973
10,44.1007,79.1568,47.5771
11,44.0521,79.2713,47.5109
12,43.9704,79.7418,47.6144
13,43.8840,79.9966,47.8664
14,43.8023,80.4671,47.9699
15,43.7656,80.5639,47.9938
16,43.5496,80.6083,47.9358
17,43.4713,80.5862,48.1321
18,43.4464,80.6652,48.2461
19,43.2958,80.7930,48.1960
20,43.2472,80.9076,48.1298
21,43.2104,81.0043,48.1537
22,43.1451,80.9209,48.1459
23,43.0431,80.9343,48.1619
24,42.9777,80.8509,48.1541
25,42.9659,80.8686,48.0640
26,42.7699,80.6184,48.0405
27,42.6393,80.4515,48.0248
28,42.4838,80.3637,48.1231
29,42.4022,80.8342,48.2266
30,42.1613,80.9576,48.2827
31,42.0344,81.0500,48.4128
32,41.9442,81.0456,48.5189
33,41.8789,80.9622,48.5111
34,41.7483,80.7953,48.4954
35,41.6748,80.9889,48.5432
36,41.7034,81.1691,48.5750
37,41.5765,81.2614,48.7051
38,41.4177,81.6663,48.7106
39,41.1768,81.7897,48.7667
40,41.1319,82.1635,48.8463
41,40.9196,82.4671,48.9341
42,40.8625,82.1067,48.8706
43,40.6914,81.7775,48.7330
44,40.5857,81.5316,48.6033
45,40.5857,81.5316,48.6033
46,40.5204,81.4482,48.5955
47,40.4836,81.5450,48.6194
48,40.4836,81.5450,48.6194
49,40.4836,81.5450,48.6194
50,40.3567,81.6373,48.7495
51,40.3567,81.6373,48.7495
52,40.2298,81.7297,48.8796
53,40.1040,81.7786,48.7154
54,40.0673,81.8753,48.7394
55,40.1433,81.9845,49.1315
56,39.9938,82.0689,48.7872
57,39.9571,82.1656,48.8111
58,39.9856,82.3458,48.8429
59,39.9964,82.3716,49.2272
60,40.0249,82.5517,49.2589
61,40.1069,82.8331,49.2084
62,40.0951,82.8509,49.1183
63,40.1236,83.0311,49.1501
64,40.1236,83.0311,49.1501
65,40.0643,83.1199,48.6996
66,40.0643,83.1199,48.6996
67,40.1485,82.9521,49.0361
68,40.1745,82.8296,48.6279
69,40.3133,82.7194,48.5879
70,40.3619,82.6049,48.6540
71,40.3452,82.4070,48.7124
72,40.4187,82.2134,48.6646
73,40.3582,82.3457,48.5083
74,40.3452,82.4070,48.7124
75,40.2717,82.6005,48.7602
76,40.1081,82.7896,48.9142
77,40.0881,83.0843,48.8798
78,39.8840,83.1110,48.9119
79,39.8591,83.1901,49.0259
80,39.7986,83.3223,48.8697
81,39.7737,83.4014,48.9837
82,39.8758,83.3880,48.9676
83,39.9697,83.6516,49.0072
84,39.9982,83.8318,49.0389
85,39.9508,83.9028,48.6786
86,39.8843,83.8629,48.9649
87,39.7823,83.8763,48.9810
88,39.6446,83.9429,48.7268
89,39.6732,84.1231,48.7585
90,39.5711,84.1364,48.7746
91,39.4654,83.8906,48.6449
92,39.4250,83.7281,48.5231
93,39.3964,83.5480,48.4913
94,39.4450,83.4334,48.5575
95,39.4083,83.5302,48.5814
96,39.2695,83.6403,48.6214
97,39.0535,83.6848,48.5634
98,38.9503,83.7416,48.8737
